,59.166.0.0,149.171.126.6,149.171.126.9,59.166.0.6,149.171.126.7,59.166.0.5,149.171.126.5,59.166.0.3,149.171.126.0,149.171.126.4,10.40.182.3,59.166.0.7,10.40.170.2,59.166.0.1,59.166.0.2,59.166.0.4,175.45.176.3,149.171.126.18,175.45.176.2,149.171.126.16,175.45.176.0,149.171.126.8,59.166.0.8,149.171.126.2,59.166.0.9,149.171.126.1,149.171.126.10,149.171.126.3,149.171.126.15,149.171.126.14,149.171.126.12,149.171.126.13,175.45.176.1,149.171.126.11,10.40.182.1,224.0.0.5,10.40.85.1,149.171.126.17,149.171.126.19,192.168.241.243,10.40.85.30,224.0.0.1,32.50.32.66,10.40.198.10,127.0.0.1
175.45.176.1,32.0,30.0,30.0,32.0,30.0,32.0,30.0,32.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,2.0,30.0,2.0,30.0,1.0,30.0,32.0,30.0,32.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30.0,32.0,31.0,32.0,30.0,30.0,31.0,32.0,31.0,32.0,32.0,32.0
149.171.126.11,32.0,4.0,2.0,32.0,4.0,32.0,4.0,32.0,4.0,4.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,5.0,30.0,5.0,30.0,2.0,32.0,4.0,32.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,30.0,0.0,32.0,31.0,32.0,5.0,5.0,31.0,32.0,31.0,32.0,32.0,32.0
10.40.182.1,30.0,32.0,32.0,30.0,32.0,30.0,32.0,30.0,32.0,32.0,2.0,30.0,13.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,32.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,32.0,16.0,32.0,32.0,32.0,16.0,32.0,30.0,15.0,31.0
224.0.0.5,32.0,31.0,31.0,32.0,31.0,32.0,31.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,0.0,32.0,31.0,31.0,30.0,32.0,3.0,32.0,32.0,32.0
10.40.85.1,30.0,32.0,32.0,30.0,32.0,30.0,32.0,30.0,32.0,32.0,16.0,30.0,16.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,32.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,16.0,32.0,0.0,32.0,32.0,32.0,5.0,32.0,30.0,16.0,31.0
149.171.126.17,32.0,5.0,5.0,32.0,5.0,32.0,5.0,32.0,5.0,5.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,2.0,30.0,1.0,30.0,5.0,32.0,5.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,30.0,5.0,32.0,31.0,32.0,0.0,2.0,31.0,32.0,31.0,32.0,32.0,32.0
149.171.126.19,32.0,5.0,5.0,32.0,5.0,32.0,5.0,32.0,5.0,5.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,1.0,30.0,2.0,30.0,5.0,32.0,5.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,30.0,5.0,32.0,31.0,32.0,2.0,0.0,31.0,32.0,31.0,32.0,32.0,32.0
192.168.241.243,32.0,31.0,31.0,32.0,31.0,32.0,31.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,30.0,32.0,31.0,31.0,0.0,32.0,30.0,32.0,32.0,32.0
10.40.85.30,30.0,32.0,32.0,30.0,32.0,30.0,32.0,30.0,32.0,32.0,16.0,30.0,16.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,32.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,16.0,32.0,5.0,32.0,32.0,32.0,0.0,32.0,30.0,16.0,31.0
224.0.0.1,32.0,31.0,31.0,32.0,31.0,32.0,31.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,3.0,32.0,31.0,31.0,30.0,32.0,0.0,32.0,32.0,32.0
32.50.32.66,29.0,32.0,32.0,29.0,32.0,29.0,32.0,29.0,32.0,32.0,30.0,29.0,30.0,29.0,29.0,29.0,32.0,32.0,32.0,32.0,32.0,32.0,29.0,32.0,29.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,32.0,30.0,32.0,32.0,32.0,30.0,32.0,0.0,30.0,31.0
10.40.198.10,30.0,32.0,32.0,30.0,32.0,30.0,32.0,30.0,32.0,32.0,15.0,30.0,15.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,32.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,15.0,32.0,16.0,32.0,32.0,32.0,16.0,32.0,30.0,0.0,31.0
127.0.0.1,31.0,32.0,32.0,31.0,32.0,31.0,32.0,31.0,32.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,31.0,32.0,32.0,32.0,31.0,32.0,31.0,31.0,0.0
